Name,Party,Constituency,Date of Birth,Education,State
Chiekwe Esiaga Nze,SDP,Abia North,10/12/1955,Bachelors degree in Political Science,Abia
Adolphus N. Wabara,NRC,Ukwa-East,01/06/1948,Master Degree intel Relations,Abia
Omenihu Nwogwugwu,SDP,Aba South,04/03/1957,B.Sc Economics,Abia
Uzomah K. Anamah,NRC,Ikwano,17/04/1959,LL.B (Hons),Abia
Iheanacho B. Nwannunu,NRC,Isiala Ngwa South,25/07/1953,B.Sc in Pol. Science,Abia
O. N. Akomas,,Umuahia,12/09/1940,"B.Sc, A.C.A. & M.B.I.M",Abia
Nwokonko E. Chikezie,NRC,Isiala Ngwa North,05/08/1958,B.L,Abia
Gabriel Eni Otu,NRC,Afikpo North,03/07/1958,Diplomas in Local Govt. Admin. & Bus Admin.,Abia
Nnanna Ngwu,NRC,Arochukwu,05/04/1955,Read Petroleum Geology,Abia
D. O. Elebe,NRC,Onitcha,27/07/1960,Diploma in Marketing,Abia
Daniel Nmeme Enere,SDP,Ukwa West,10/02/1938,Doctor of Medcine,Abia
Chidi N. Maduekwe,SDP,Ohafia,15/10/1953,M.B.B.S,Abia
Emeka Ben Obi,NRC,Isuikwato,05/03/1948,Bachelors degree in Mechanical Engineering,Abia
Ben Yadiri C. Okike,NRC,Ohaozara,,,Abia
Okorie U. Agu,NRC,Afikpo South,,,Abia
Macaulay I. Obia,NRC,Obioma-Ngwa,,,Abia
Orji Uzor Kalu,,Bende,21/04/1960,University of Maiduguri,Abia
Abubakar U. AL-Uma,NRC,Yola,21/10/1957,B.A in Islamic Studies & Sociology,Adamawa
Musa Bubakari Kamale,NRC,Michika,"April, 1955",B. Sc in Econs & M.B.A,Adamawa
Michael U. Angilda,NRC,Madagali,03/03/1963,M.Sc (Architecture),Adamawa
Adiel Edmund Olse,NRC,Numan,22/10/1964,"Attended Fed Govt. College, Ogbomosho",Adamawa
Ahmed Hassan Barata,NRC,Shelleng,13/02/1963,"Teacher's College, Shuwa",Adamawa
Godfrey Ayuba Yoila,SDP,Demsa,28/11/1959,Diploma in Journalism/ Mass Communication,Adamawa
