Name,Party,Constituency,Date of Birth,Education,State,Term,Body
"Okwu, Basil Charles",NPP,Anambra Central,23/08/1923,,Anambra,1979 - 1983,senate
Obi Onyeabo,NPP,Anambra West,20/11/1938,,Anambra,1979 - 1983,senate
Anah Nathaniel N.,NPP,Anambra South,29/09/1931,,Anambra,1979 - 1983,senate
Ani Isaiah Nnamani,NPP,Anambra North,16/06/1933,,Anambra,1979 - 1983,senate
Offia Nwali,NPP,,,,Anambra,1979 - 1983,senate
Waziri Ibrahim Jalo,NPN,Bauchi East,1926,,Bauchi,1979 - 1983,senate
Dimis Ibrahim,NPN,Bauchi South,01/10/1927,,Bauchi,1979 - 1983,senate
Ahmed Mohammed Uba,NPN,Bauchi South East,20/04/1939,,Bauchi,1979 - 1983,senate
Rufa'i Ahmadu Damyama,NPN,Bauchi Central,08/1919,,Bauchi,1979 - 1983,senate
A. Yelwaji,NPN,,1936,,Bauchi,1979 - 1983,senate
Dafinone David Omueya,NPN,Bendel South,12/03/1927,,Bendel,1979 - 1983,senate
Umolu John Osiomele,UPN,Bendel North,1919,,Bendel,1979 - 1983,senate
Akpata E. Idahosa O.,UPN,Bendel Central,14/05/1919,,Bendel,1979 - 1983,senate
Atake Franklin O. M.,UPN,Bendel Delta,06/05/1928,,Bendel,1979 - 1983,senate
Ikpo Nosike,UPN,Bendel East,21/03/1933,,Bendel,1979 - 1983,senate
Ebute Ameh,NPN,Benue South-Central,16/09/1946,,Benue,1979 - 1983,senate
Ali Amadu Adah,NPN,Benue West,01/03/1936,,Benue,1979 - 1983,senate
Abogede Andrew,NPN,Benue North-Central,02/10/1926,,Benue,1979 - 1983,senate
Chia Suemo,NPN,Benue East,1943,,Benue,1979 - 1983,senate
J. S. Tarka,NPN,Benue,,,Benue,1979 - 1983,senate
Sanda Bukar,GNPP,Borno West,1940,,Borno,1979 - 1983,senate
Kadi Idrisa,GNPP,Borno North-Central,1926,,Borno,1979 - 1983,senate
Manga Ja'afar Jarafu,GNPP,Borno South,15/10/1933,,Borno,1979 - 1983,senate
Bama Umaru Lawan,GNPP,Borno East,29/09/1936,,Borno,1979 - 1983,senate
Lawan Mohammed Girgiri,NPN,Borno North-West,19/09/1944,,Borno,1979 - 1983,senate
Etiebet Donald Dick,NPN,Ikot Ekpene,1934,,Cross River,1979 - 1983,senate
Wayas Joseph,NPN,Ogoja,21/05/1941,,Cross River,1979 - 1983,senate
Akan Victor,NPN,Eket,1938,,Cross River,1979 - 1983,senate
Ansa Joseph Oqua,GNPP,Calabar,20/07/1940,,Cross River,1979 - 1983,senate
Daniel George Asuquo,GNPP,Uyo,30/07/1931,,Cross River,1979 - 1983,senate
Zing Luka Zanya,UPN,Muri,02/01/1940,,Gongola,1979 - 1983,senate
Waziri Mahmud,GNPP,Adamawa,13/12/1936,,Gongola,1979 - 1983,senate
Audu Iliya Galiya,NPN,Wukari,01/01/1940,,Gongola,1979 - 1983,senate
Gilama Gayus,UPN,Numan,1926,,Gongola,1979 - 1983,senate
Kajal Bitrus Bzigu,GNPP,Mubi,15/05/1943,,Gongola,1979 - 1983,senate
Wachuku Jaja Anucha,NPP,Aba,01/01/1918,,Imo,1979 - 1983,senate
Anyanwu Tony,NPP,Owerri,24/12/1941,,Imo,1979 - 1983,senate
Echeruo Emeka Patrick,NPP,Okigwe,11/06/1939,,Imo,1979 - 1983,senate
Emezie Elijah Ebonine,NPP,Orlu,11/02/1933,,Imo,1979 - 1983,senate
Ojukwu Simeon Mba,NPP,Umuahia,03/03/1921,,Imo,1979 - 1983,senate
Madaki Jacob Kure,NPN,Kachia/Jemaa/Saminaka,08/1938,,Kaduna,1979 - 1983,senate
Ali Abba,NPN,Katsina/Dutsinma,07/01/1940,,Kaduna,1979 - 1983,senate
Bakori Bello,PRP,Malumfashi/Funtua,1944,,Kaduna,1979 - 1983,senate
Daura Yusuf Aliyu,NPN,Daura/Mani/Kankiya,12/04/1934,,Kaduna,1979 - 1983,senate
Ibrahim Barau,NPN,,,,Kaduna,1979 - 1983,senate
Zakari Ahmed,PRP,Kano North-East,1939,,Kano,1979 - 1983,senate
Bakin Zuwo Sabo,PRP,Kano Central,1934,,Kano,1979 - 1983,senate
Dambatta Usman Alto,PRP,Kano North-Central,1932,,Kano,1979 - 1983,senate
Musa Hamisu,PRP,Kano South-West,"August 3, 1938",,Kano,1979 - 1983,senate
Adamu Gaya,PRP,,,,Kano,1979 - 1983,senate
Abubakar O. Saraki,NPN,Ilorin/Asa,17/05/1933,,Kwara,1979 - 1983,senate
Adebayo O. Cornelius,UPN,Kwara Central,24/02/1941,,Kwara,1979 - 1983,senate
Gani Aliya Mohammed,NPN,Kwara North,31/12/1935,,Kwara,1979 - 1983,senate
Obaro Isa,NPN,Kwara South,20/08/1934,,Kwara,1979 - 1983,senate
Olu Justus Olabode,UPN,Kwara South-East,28/03/1930,,Kwara,1979 - 1983,senate
Shita-Bey Sikiru Ayodeji,UPN,Lagos,26/06/1931,,Lagos,1979 - 1983,senate
Abiru Mubashir Akanbi,UPN,Ikorodu,25/09/1932,,Lagos,1979 - 1983,senate
Ajayi Adeyiga Omopenu,UPN,Ikeja,06/06/1939,,Lagos,1979 - 1983,senate
Ayantuga Obafemi,UPN,Epe,10/04/1937,,Lagos,1979 - 1983,senate
Durosimi Abayomi Adeyosola,UPN,Badagry,01/01/1935,,Lagos,1979 - 1983,senate
Salihu Jibrin,NPN,Agaie/Lapai,12/04/1937,,Niger,1979 - 1983,senate
Dada Garba Musa,NPN,Minna/Kagar,28/11/1941,,Niger,1979 - 1983,senate
Magaji Abubakar,NPN,Suleja (Formerly Abuja),03/12/1936,,Niger,1979 - 1983,senate
Mu'azu Abdullah,NPN,Kontagora,1924,,Niger,1979 - 1983,senate
Ibrahim Kolo,NPN,,,,Niger,1979 - 1983,senate
Adesanya Abraham A.,UPN,Ijebu North-East,24/08/1924,,Ogun,1979 - 1983,senate
Odebiyi Jonathan Akinremi O.,UPN,Egbado North/South,11/03/1923,,Ogun,1979 - 1983,senate
Sogbein Samuel Olu,UPN,Odeda/Obafemi/ Owode,10/12/1920,,Ogun,1979 - 1983,senate
Ladega Daniel Adetola,UPN,Ijebu-Ode/Ijebu Remo,15/08/1918,,Ogun,1979 - 1983,senate
Oyero Kunle,UPN,Abeokuta/Ifo-Otta,28/10/1927,,Ogun,1979 - 1983,senate
Onunkun Michael Atijosan E.,UPN,Ondo South,30/10/1928,,Ondo,1979 - 1983,senate
Akintoye Stephen Adebanji,UPN,Ondo Central,18/02/1936,,Ondo,1979 - 1983,senate
Fasanmi Ayo,UPN,Ondo North,27/09/1925,,Ondo,1979 - 1983,senate
Ogunleye Emmanuel Kayode,UPN,Ondo East,06/05/1934,,Ondo,1979 - 1983,senate
Oke David Olantunbosun,UPN,Ondo West,03/10/1937,,Ondo,1979 - 1983,senate
Ilori Christopher Oladosu,UPN,Ife/Ilesha,27/07/1929,,Oyo,1979 - 1983,senate
Adegoke Ademole,UPN,Oyo,15/10/1942,,Oyo,1979 - 1983,senate
Adeleke Ayoola,UPN,Oshun II,27/12/1923,,Oyo,1979 - 1983,senate
Adeoye Christopher Laogun,UPN,Oshun I,12/03/1928,,Oyo,1979 - 1983,senate
Adesina Olalere,UPN,Ibadan,10/02/1931,,Oyo,1979 - 1983,senate
Yepwi Thomas,NPN,Keffi,21/05/1930,,Plateau,1979 - 1983,senate
Pam John Wash,NPP,Jos,22/10/1940,,Plateau,1979 - 1983,senate
Agwal Muhammed Musa,NPN,"Lafia, Akwanga/Awe",03/03/1939,,Plateau,1979 - 1983,senate
Hoomkwap George Baba,NPP,Shendam,28/12/1942,,Plateau,1979 - 1983,senate
Matta Garba,NPP,Pankshin/Mangu/Kanam,21/03/1932,,Plateau,1979 - 1983,senate
Zuofa Amatari,NPN,Rivers III (Brass/Sagbama/Yenogoa),29/11/1923,,Rivers,1979 - 1983,senate
Wali Obi,NPP,Rivers I (Phalga),27/02/1932,,Rivers,1979 - 1983,senate
Ellah Francis John,NPP,Rivers II (Ahoada/Ikwerre/Etche),04/11/1927,,Rivers,1979 - 1983,senate
Nunieh Cyrus Nwidonane,NPN,Rivers IV (Bonny/Bori),05/02/1930,L.L.B & B.L,Rivers,1979 - 1983,senate
Eberewariye Oyiboseigha,NPN,Degema,1949,,Rivers,1979 - 1983,senate
Zuru Hassan,NPN,Sokoto North,1927,,Sokoto,1979 - 1983,senate
Abdul-Karim Muhtari,NPN,Sokoto East,05/02/1938,,Sokoto,1979 - 1983,senate
Kware Garba,NPN,Sokoto Central,01/04/1925,,Sokoto,1979 - 1983,senate
Muza Haruna,NPN,Sokoto West,1919,,Sokoto,1979 - 1983,senate
Gada Garba,NPN,Sokoto North,1934,,Sokoto,1979 - 1983,senate
F. C. Adigwe,NPP,Akwa,05/11/43,,Anambra,1979 - 1983,house
I. U. Chima,NPP,Ezza,02/02/50,,Anambra,1979 - 1983,house
E. C. Emekaekwue,NPP,Onitsha South,24/06/27,,Anambra,1979 - 1983,house
J. C. Emeka,NPN,Anambra North,,,Anambra,1979 - 1983,house
J. C. Eze,NPP,Uzo-Uwani,24/11/32,,Anambra,1979 - 1983,house
C. A. Modebe,NPP,Awka,11/04/32,,Anambra,1979 - 1983,house
F. E. Ndukwe,NPP,Ihiala,23/03/31,,Anambra,1979 - 1983,house
J. C. Ngwu,NPP,Isi-Uzo,,,Anambra,1979 - 1983,house
Francis N. C. Nwandison,NPP,Orji River/Agwu South,10/10/40,Type writing & Stenography,Anambra,1979 - 1983,house
Nwegede Nwangbo,NPP,Ishielu East,1935,,Anambra,1979 - 1983,house
Andrew O. Nwankwo,NPP,Abakaliki North/West,25/07/43,"Higher Diploma in Econs, B.Sc Marketing.",Anambra,1979 - 1983,house
Eddy Nkem Nweke,NPP,Nkanu,1939,Diploma in Electrical/Electronic Engineering,Anambra,1979 - 1983,house
M. G. Alo Nwankocha,NPP,Abakaliki East-Central,20/06/49,,Anambra,1979 - 1983,house
Aka Ogbobe,NPN,Igbo-Etiti,"August, 1932",Diploma in Structure Engineering,Anambra,1979 - 1983,house
Juventus C. Ojukwu,NPP,Idemili,02/06/42,Cert in Public Relations,Anambra,1979 - 1983,house
Nweke Ayigor Okeazu,,Ikwo,,,Anambra,1979 - 1983,house
Peter C. Okeke,NPP,Agwu North/East/West,29/06/43,Cert R.S.A Intermediate Stage II,Anambra,1979 - 1983,house
Joeseph Okoli,NPP,Ezeagu,12/10/39,,Anambra,1979 - 1983,house
Mark C. Okoye,NPP,Njikoka North,10/06/51,B.Sc Civil Engineering,Anambra,1979 - 1983,house
J. O. Okoye,NPP,Aguata South,29/07/35,,Anambra,1979 - 1983,house
David A. Omeke,NPP,Igbo-Eze North,31/12/32,,Anambra,1979 - 1983,house
D. M. Onwuzulike,NPP,Aguata North/West,18/10/34,,Anambra,1979 - 1983,house
G. N. Ozugha,,Anambra South,18/02/1940,,Anambra,1979 - 1983,house
Ifeanyi Ofondu,NPP,Enugu,12/05/48,,Anambra,1979 - 1983,house
J. Ugota,NPP,Ishielu West,1940,Grade II & III Teacher's Certificate,Anambra,1979 - 1983,house
F. C. Ugwu,NPP,Nsukka,25/08/38,,Anambra,1979 - 1983,house
Michael O. Ugwu,NPN,Udi,17/06/39,"B.Sc in Eng'g, Diploma Electronic Engineering.",Anambra,1979 - 1983,house
Edwin-Ume Ezeoke,NPP,Nnewi,08/09/35,LLB,Anambra,1979 - 1983,house
Salihu Adamu,NPN,Ningi,02/11/44,Dip. in Acct. & Audit,Bauchi,1979 - 1983,house
Babaji Aliyu,NPN,Shira,1947,"Dip in Law, Dip in Islamic L.L.B, B.L",Bauchi,1979 - 1983,house
Yakubu B. Aliyu,NPN,Katagum East,1939,,Bauchi,1979 - 1983,house
Mohammed Bawa,NPN,Misau,1947,,Bauchi,1979 - 1983,house
Hamza Gombe,NPN,Misau,1916,,Bauchi,1979 - 1983,house
Bello C. Gwaram,,Akko-Pindiga,,,Bauchi,1979 - 1983,house
Irmiye Hassan,,Gombe,,,Bauchi,1979 - 1983,house
Mohammed Hassan,NPN,Alkaleri,01/12/28,,Bauchi,1979 - 1983,house
Yunusa Kaltungo,NPN,Tangale-Waja South,24/05/35,,Bauchi,1979 - 1983,house
Mohammed K. Labaran,NPN,Darazo-Sale,1952,,Bauchi,1979 - 1983,house
Ahmadu Mohammed,,Tangale-Waja South,,,Bauchi,1979 - 1983,house
Nuhu Poloma,,Darazo-Sale,02/02/41,Diploma in International Intelligence,Bauchi,1979 - 1983,house
Mohammed A. Shamaki,,Katagum,26/11/45,,Bauchi,1979 - 1983,house
Kaulaha Aliyu,NPN,Katagum East,1953,,Bauchi,1979 - 1983,house
Adamu Yarima,GNPP,Dukku West,02/02/45,,Bauchi,1979 - 1983,house
Y. G. Zambuk,NPN,Yamultu-Deba,09/04/42,,Bauchi,1979 - 1983,house
Aliyu Kafin Madaki,NPN,Ganjuwa,,,Bauchi,1979 - 1983,house
Ahmadu Nafada Mohammed,PRP,Dukku East,,,Bauchi,1979 - 1983,house
Isa Yakubu Toro,NPN,Toro,1949,,Bauchi,1979 - 1983,house
Irmuja D. Hassan,NPP,Dase-Tafawa Balewa,"February, 1947",,Bauchi,1979 - 1983,house
Mohammed Bornoma,NPN,Akko-Pindiga,1925,Diploma in Local Govt & Accounts,Bauchi,1979 - 1983,house
Abubakar Tuggar,NPN,Gamawa,,,Bauchi,1979 - 1983,house
C. F. Abeki,UPN,Bomadi,15/09/39,,Bendel,1979 - 1983,house
Michael A. Agbamuche,NPP,Oshimili,16/08/20,"L.L.B, B.L",Bendel,1979 - 1983,house
A. E. Ayomanor,NPN,Okpe,03/08/37,"LLB, BL",Bendel,1979 - 1983,house
Joseph B. Balogun,UPN,Akoko Edo,27/03/29,Diploma Cert. in Automobile,Bendel,1979 - 1983,house
Tom Egbuwoku,UPN,Isoko,01/10/40,B.Sc in Econs. M.L.B,Bendel,1979 - 1983,house
P. A. Gbinije,NPN,Ethiope South,1926,School Cert.,Bendel,1979 - 1983,house
P. E. S. Ideh,NPN,Ughelli,03/11/33,,Bendel,1979 - 1983,house
R. A. Iduwe,UPN,Ika,28/08/31,,Bendel,1979 - 1983,house
F. O. Iyayi,UPN,Okpebho,"December, 1925",,Bendel,1979 - 1983,house
Amen Z. Momodu,UPN,Etsako,06/09/31,OND Criminal Detective,Bendel,1979 - 1983,house
M. Nwose,UPN,Ndokwa,11/07/35,"University G.C.E, ACIS (Intermediate)",Bendel,1979 - 1983,house
P. Eguaseki Ogida,UPN,Oredo,28/02/53,,Bendel,1979 - 1983,house
M. O. Okun,UPN,Owan,1944,,Bendel,1979 - 1983,house
Benjamine Omoruwa,UPN,Warri,10/11/25,B.L,Bendel,1979 - 1983,house
Gordon J. Idang,GNPP,Etinan II,08/08/39,,Bendel,1979 - 1983,house
Ebinwhe J. Sowho,NPN,Ethiope North,18/03/1937,Medical Doctor,Bendel,1979 - 1983,house
R. I. Uneh,UPN,Agbazilo,27/11/38,,Bendel,1979 - 1983,house
B. I. Uwagboe,NPN,Ovia,23/06/20,,Bendel,1979 - 1983,house
George N. Uwechue,NPP,Aniocha,30/11/38,"W.A.S.C, L.L.B",Bendel,1979 - 1983,house
J. M. Zuokumor,NPN,Burutu,07/04/35,,Bendel,1979 - 1983,house
