Name,Party,State,Constituency
Uchechukwu N. Maduako,PDP,Abia State,Isuikwuato/Umunneochi
Njoku Nnamdi,PDP,Abia State,Bende
Anthony Eze Enwereuzor,APP,Abia State,Aba North/Aba South
Iheanacho Obioma,PDP,Abia State,Umuahia/North South/Ikwu/Ikwuhado
Clifford Ezekesiri Ohiagu,PDP,Abia State,Obingwa/Ugwunagbo/Osisioma
Arukwe Mao Ohuabunwa,PDP,Abia State,Arochukwu/Ohafia
Macebuh Chinonyerem,PDP,Abia State,Ukwa East/Ukwa west
Nwakanma Chimaobi,PDP,Abia State,Isiala Ngwa North/South
Martin Balele,PDP,Adamawa State,Jada/Ganye/Mayo Belwa/Toungo
Njida Ahmed Gella,PDP,Adamawa State,Mubi N/Mu S/Maiha
Ishaku Terei Kwaghe,PDP,Adamawa State,YL/N/S/GRI
Betu Mamuno,PDP,Adamawa State,Demsa/Numan/Lamurde
Ahmed Hassan Barata,PDP,Adamawa State,Guyuk/Shelleng
Nuhu Borbo Gurin,PDP,Adamawa State,Fufore/Song
Awwal D. Tukur,PDP,Adamawa State,Yola North/Yola South/Girei
Maxwell Buluma,APP,Adamawa State,Hong/Igombi
Asuquo Emah Bassey,PDP,Akwa Ibom State,Etinan
Eno Sampson Akpan,PDP,Akwa Ibom State,Ukanafun/Orukanam
Ita Solomon Enang,PDP,Akwa Ibom State,Itu/Ibiono Ibom
Akaninyene Eno Eyo,APP,Akwa Ibom State,Abak Federal Constituency
Emaeyak Nkana Ukpong,PDP,Akwa Ibom State,Uyo/Uruan/Nsit Ata/Ibeskip Asutan
Esio Oquong Udoh,PDP,Akwa Ibom State,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko Const.
Bernard Ambrose Udoh,PDP,Akwa Ibom State,"Ikot Abasi, Mkpatenin and Eastern Obolo"
Iquo-Inyang Minimah,PDP,Akwa Ibom State,Ikono/ Ini
Nduese Essien,PDP,Akwa Ibom State,Eket Federal Constituency
Tony Ibana Esu,APP,Akwa Ibom State,Ikot Ekpene/ Essien Udim/ Ubot Akara
Celestine Nnaemeka Ughanze,PDP,Anambra State,Oyi/Ayamelum
Okwudili Uzoka,,Anambra State,Ogbaru
Jerry Sonny Ugokwe,PDP,Anambra State,Idemili North/South
Frederick A. U. Okeke,PDP,Anambra State,Ihiala
Chudi Offodile,PDP,Anambra State,Awka North/South
Udeh Okechukwu,PDP,Anambra State,Orumba North/South
Lynda Chuba Ikpeazu,APP,Anambra State,Onitsha North/South
Bertrand Maduka Efobi,PDP,Anambra State,Nnewi North/South/Ekwusigo
Chidi Okechukwu Duru,PDP,Anambra State,Aguta
