Member,Party,State,Constituency
Emeka Atuma,PDP,Abia,Ikwuano / Umuahia North / Umuahia South
Chief Mba Ajah,PDP,Abia,Bende
Uchechukwu Maduako,PDP,Abia,Isuikwuato / Umu-Nneochi
Mao Ohuabunwa,PDP,Abia,Arochukwu / Ohafia
Nnanna Uzor,AD,Abia,Aba North / Aba South
Macebuh Chinonyerem,PDP,Abia,Ukwa East / Ukwa West
Anayo Ozurumba,PDP,Abia,Isiala-Ngwa North / Isiala-Ngwa South
Nkechi Nwaogu,ANPP,Abia,Obi Ngwa / Osisioma Ngwa / Ugwunagbo
Dahiru Bornoma,ANPP,Adamawa,Yola North / Yola South / Girei
Ahmed Hassan Barata,PDP,Adamawa,Guyuk / Shelleng
Anthony Madwate,PDP,Adamawa,Demsa / Lamurde / Numan
Atiwurcha Sylvanus,PDP,Adamawa,Gombi / Hong
Nuhu Bobbo Gurin,PDP,Adamawa,Fufore / Song
Gella Ahmed Nijoda,PDP,Adamawa,Mubi North / Mubi South / Maiha
Babale Martins,PDP,Adamawa,Jada / Ganye / Toungo / Mayo Belwa
Bala James Ngilari,PDP,Adamawa,Michika / Madagali / Maiha
Barr. Emah Bassey,NDP,Akwa Ibom,Etinan
Ubong Etiebet,ANPP,Akwa Ibom,Ukanafun / Oruk Anam
Enang Ita James,PDP,Akwa Ibom,Itu / Ibiono-Ibom
Nsini Umossoh,PDP,Akwa Ibom,Ikot Ekpene
Nduese Essien,PDP,Akwa Ibom,Eket / Onna / Esit Eket / Ibeno
Benard Udoh,PDP,Akwa Ibom,Mkpat-Enin / Ikot Abasi / Eastern Obolo
Esio Oquong Udoh,PDP,Akwa Ibom,Oron / Mbo / Okobo / Udung-Uko / Urue-Offong/Oruko
Iquo Inyang Minimah,PDP,Akwa Ibom,Ikono / Ini
Ezekiel Anaka,PDP,Akwa Ibom,Abak / Etim Ekpo / Ika
Bassy Etim,PDP,Akwa Ibom,Uyo
